(1581, 179, 266, 382, 130, 236, 182, 323, 111, 'R', 1100),
(1582, 180, 266, 380, 131, 235, 182, 322, 109, 'R', 1100),
(1583, 181, 267, 379, 132, 234, 182, 322, 107, 'R', 1100),
(1584, 182, 267, 379, 132, 236, 183, 322, 108, 'R', 1100),
(1585, 183, 269, 379, 133, 233, 182, 323, 105, 'R', 1100),
(1586, 184, 267, 379, 134, 234, 183, 322, 106, 'R', 1100),
(1587, 185, 269, 379, 133, 233, 182, 323, 105, 'R', 1100),
(1588, 186, 270, 378, 135, 233, 183, 323, 103, 'R', 1100),
(1589, 187, 273, 377, 134, 232, 182, 324, 101, 'R', 1100),
(1590, 188, 273, 377, 135, 231, 182, 324, 100, 'R', 1100),
(1591, 189, 274, 376, 135, 231, 182, 324, 99, 'R', 1100),
(1592, 190, 274, 376, 135, 231, 182, 324, 99, 'R', 1100),
(1593, 191, 274, 376, 136, 230, 182, 324, 98, 'R', 1100),
(1594, 192, 274, 376, 137, 229, 182, 324, 97, 'R', 1100),
(1595, 193, 276, 376, 135, 229, 181, 325, 97, 'R', 1100),
(1596, 194, 275, 375, 135, 227, 180, 324, 96, 'R', 1100),
(1597, 195, 316, 368, 136, 226, 180, 341, 71, 'R', 1100),
(1598, 198, 316, 372, 131, 209, 169, 343, 67, 'R', 1100),
(1599, 199, 288, 376, 130, 220, 174, 331, 89, 'R', 1100),
(1600, 200, 282, 378, 130, 222, 175, 329, 94, 'R', 1100),
(1601, 201, 282, 380, 130, 222, 175, 330, 95, 'R', 1100),
(1602, 202, 282, 382, 131, 223, 176, 331, 96, 'R', 1100),
(1603, 203, 282, 382, 129, 225, 176, 331, 98, 'R', 1100),
(1604, 204, 281, 383, 129, 223, 175, 331, 98, 'R', 1100),
(1605, 205, 280, 384, 128, 226, 176, 331, 101, 'R', 1100),
(1606, 206, 280, 384, 128, 226, 176, 331, 101, 'R', 1100),
(1607, 207, 280, 386, 127, 225, 175, 332, 102, 'R', 1100),
(1608, 208, 279, 385, 126, 226, 175, 331, 103, 'R', 1100),
(1609, 209, 279, 387, 125, 227, 175, 332, 105, 'R', 1100),
(1610, 210, 276, 386, 125, 227, 175, 330, 106, 'R', 1100),
(1611, 211, 317, 381, 127, 229, 177, 348, 83, 'R', 1100),
(1612, 215, 325, 377, 142, 244, 192, 350, 77, 'R', 1100),
(1613, 216, 294, 382, 130, 238, 183, 337, 98, 'R', 1100),
(1614, 217, 279, 385, 127, 237, 181, 331, 108, 'R', 1100),
(1615, 218, 272, 386, 128, 238, 182, 328, 112, 'R', 1100),
(1616, 219, 272, 388, 128, 238, 182, 329, 113, 'R', 1100),
(1617, 220, 269, 389, 127, 239, 182, 328, 116, 'R', 1100),
(1618, 221, 269, 389, 127, 239, 182, 328, 116, 'R', 1100),
(1619, 222, 271, 391, 127, 239, 182, 330, 116, 'R', 1100),
(1620, 223, 271, 391, 126, 240, 182, 330, 117, 'R', 1100),
(1621, 224, 270, 392, 126, 240, 182, 330, 118, 'R', 1100),
(1622, 225, 269, 393, 125, 241, 182, 330, 120, 'R', 1100),
(1623, 226, 269, 393, 125, 241, 182, 330, 120, 'R', 1100),
(1624, 227, 269, 393, 124, 242, 182, 330, 121, 'R', 1100),
(1625, 228, 268, 394, 124, 242, 182, 330, 122, 'R', 1100),
(1626, 229, 267, 393, 116, 232, 173, 329, 121, 'R', 1100),
(1627, 230, 265, 393, 114, 232, 172, 328, 123, 'R', 1100),
(1628, 231, 265, 393, 114, 232, 172, 328, 123, 'R', 1100),
(1629, 232, 264, 392, 114, 232, 172, 327, 123, 'R', 1100),
(1630, 233, 264, 392, 113, 233, 172, 327, 124, 'R', 1100),
(1631, 234, 264, 392, 113, 233, 172, 327, 124, 'R', 1100),
(1632, 235, 262, 392, 113, 231, 171, 326, 124, 'R', 1100),
(1633, 236, 312, 386, 117, 231, 173, 348, 94, 'R', 1100),
(1634, 239, 343, 379, 133, 213, 172, 360, 58, 'R', 1100),
(1635, 240, 307, 383, 120, 232, 175, 344, 94, 'R', 1100),
(1636, 241, 285, 387, 117, 237, 176, 335, 111, 'R', 1100),
(1637, 242, 276, 388, 117, 237, 176, 331, 116, 'R', 1100),
(1638, 243, 268, 390, 117, 237, 176, 328, 121, 'R', 1100),
(1639, 244, 263, 391, 117, 237, 176, 326, 124, 'R', 1100),
(1640, 245, 262, 392, 117, 237, 176, 326, 125, 'R', 1100),
(1641, 246, 261, 393, 116, 238, 176, 326, 127, 'R', 1100),
(1642, 247, 262, 394, 116, 238, 176, 327, 127, 'R', 1100),
(1643, 248, 262, 396, 116, 238, 176, 328, 128, 'R', 1100),
(1644, 249, 262, 396, 116, 238, 176, 328, 128, 'R', 1100),
(1645, 250, 262, 396, 117, 239, 177, 328, 128, 'R', 1100),
